Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Henrik Stenson,60.0,75.19,2018,291.5,73.51,29.93,60.67,69.617,868,,5.0,-0.207,1.153,0.427,0.96,-0.027,"$2,680,487"
Ryan Armour,109.0,73.58,2018,283.5,68.22,29.31,60.13,70.758,"1,006",1.0,3.0,-0.058,0.337,-0.012,0.213,0.194,"$2,485,203"
Chez Reavie,93.0,72.24,2018,286.5,68.67,29.12,62.27,70.432,"1,020",,3.0,0.192,0.674,0.183,0.437,-0.137,"$2,700,018"
Ryan Moore,78.0,71.94,2018,289.2,68.8,29.17,64.16,70.015,795,,5.0,-0.271,0.941,0.406,0.532,0.273,"$1,986,608"
Brian Stuard,103.0,71.44,2018,278.9,67.12,29.11,59.23,71.038,421,,3.0,0.164,0.062,-0.227,0.099,0.026,"$1,089,763"
Brian Gay,103.0,71.37,2018,282.9,64.52,28.25,63.26,70.28,880,,6.0,0.442,0.565,-0.166,0.036,0.253,"$2,152,501"
Kyle Stanley,93.0,71.29,2018,295.7,71.09,29.89,54.8,70.404,"1,198",,5.0,0.037,0.686,0.378,0.298,-0.027,"$3,916,001"
Emiliano Grillo,94.0,70.16,2018,295.2,68.84,29.04,61.05,70.152,901,,5.0,0.546,1.133,0.364,0.345,-0.122,"$2,493,163"
Russell Henley,77.0,70.03,2018,293.0,68.77,29.8,54.33,70.489,569,,3.0,0.167,0.541,0.093,0.467,-0.186,"$1,516,438"
Jim Furyk,50.0,69.91,2018,280.5,63.19,28.73,62.58,70.342,291,,2.0,0.389,0.412,-0.392,0.179,0.235,"$660,010"
Kevin Streelman,94.0,69.11,2018,295.1,71.56,29.67,60.93,70.436,673,,5.0,-0.25,0.619,0.439,0.415,0.014,"$1,523,642"
Justin Rose,70.0,66.02,2018,303.5,69.95,28.67,63.03,68.993,"1,991",2.0,8.0,0.424,1.952,0.551,0.526,0.45,"$8,130,678"
Dustin Johnson,77.0,59.46,2018,314.0,70.57,28.47,62.5,68.698,"2,717",3.0,10.0,0.385,2.372,0.919,0.829,0.238,"$8,457,352"
Justin Thomas,91.0,58.41,2018,311.8,68.77,28.33,62.47,69.118,"2,634",3.0,8.0,0.272,1.835,0.408,0.844,0.311,"$8,694,821"
Tiger Woods,68.0,59.35,2018,303.6,67.4,28.49,64.16,69.35,"1,162",,5.0,0.266,1.596,0.061,0.883,0.385,"$5,443,841"
Tony Finau,105.0,55.09,2018,315.1,70.18,29.03,57.22,69.52,"1,509",,8.0,0.232,1.435,0.481,0.5,0.222,"$5,620,138"
Rory McIlroy,64.0,55.79,2018,319.7,66.3,28.46,62.97,69.303,"1,154",1.0,5.0,0.06,1.412,0.761,0.269,0.322,"$4,410,296"
Brooks Koepka,64.0,56.85,2018,313.4,68.28,28.76,63.28,69.444,"2,012",2.0,5.0,0.168,1.22,0.658,0.232,0.162,"$7,094,047"
Jon Rahm,71.0,59.2,2018,308.9,70.12,29.14,57.18,69.958,"1,430",1.0,5.0,-0.151,0.889,0.817,0.047,0.176,"$3,992,678"
Patrick Cantlay,87.0,61.58,2018,303.1,70.69,29.8,57.58,69.899,"1,388",1.0,6.0,-0.182,1.096,0.622,0.509,0.146,"$3,963,962"
Jordan Spieth,81.0,61.55,2018,299.8,70.47,29.09,61.63,69.904,945,,5.0,-0.034,0.83,0.271,0.409,0.184,"$2,793,536"
Francesco Molinari,73.0,65.04,2018,301.0,70.24,29.63,58.67,69.797,"1,682",2.0,4.0,-0.487,1.123,0.69,0.593,0.327,"$5,065,842"
Tommy Fleetwood,73.0,64.98,2018,306.9,69.36,29.3,55.77,69.342,"1,130",,5.0,0.324,1.606,0.58,0.405,0.296,"$3,935,147"
Webb Simpson,95.0,62.34,2018,293.7,67.93,28.47,66.1,69.293,"1,710",1.0,7.0,0.692,1.432,-0.116,0.486,0.37,"$5,376,417"
Bryson DeChambeau,93.0,62.23,2018,305.7,69.65,29.18,59.84,69.646,"1,617",1.0,7.0,0.346,1.558,0.586,0.556,0.07,"$8,094,489"
Bubba Watson,90.0,58.27,2018,313.1,68.21,29.33,56.64,70.384,"1,879",3.0,5.0,0.001,0.555,0.78,0.005,-0.231,"$5,793,748"
Jason Day,75.0,58.32,2018,310.0,65.28,28.24,62.35,69.603,"1,771",2.0,5.0,0.77,1.285,0.176,-0.14,0.479,"$5,087,461"
Patrick Reed,94.0,55.11,2018,298.1,63.57,28.33,62.94,70.106,"1,555",1.0,7.0,0.164,0.947,0.051,0.187,0.545,"$5,006,267"
Phil Mickelson,90.0,52.91,2018,300.3,64.88,28.11,58.36,70.098,"1,546",1.0,6.0,0.51,0.931,-0.225,0.555,0.091,"$4,595,187"
Rickie Fowler,74.0,65.33,2018,299.8,69.52,28.99,63.05,69.435,"1,302",,4.0,0.296,1.275,0.244,0.494,0.242,"$4,235,237"
Hideki Matsuyama,75.0,62.82,2018,302.0,69.29,29.21,60.8,70.022,607,,2.0,0.132,1.196,0.194,0.727,0.143,"$2,687,477"
Jordan Spieth,85.0,59.48,2017,295.0,69.97,28.34,61.75,68.846,"2,671",3.0,8.0,0.278,1.988,0.321,0.896,0.429,"$9,433,033"
Justin Thomas,86.0,54.09,2017,309.3,67.33,28.29,60.54,69.359,"2,689",4.0,9.0,0.332,1.724,0.452,0.738,0.289,"$9,921,560"
Dustin Johnson,77.0,56.44,2017,314.4,69.61,29.0,62.63,69.549,"2,466",3.0,7.0,0.019,1.972,1.071,0.67,0.121,"$8,732,193"
Hideki Matsuyama,83.0,57.61,2017,302.9,69.14,28.96,61.25,69.624,"2,869",3.0,7.0,-0.345,1.058,0.508,0.758,0.346,"$8,380,570"
Jon Rahm,90.0,58.61,2017,305.8,68.79,28.81,63.74,69.561,"1,754",1.0,7.0,0.256,1.871,0.949,0.515,0.057,"$6,123,248"
Rickie Fowler,78.0,63.29,2017,300.5,66.98,28.32,62.85,69.083,"1,832",1.0,9.0,0.852,1.875,0.378,0.408,0.349,"$6,083,197"
Marc Leishman,94.0,57.64,2017,298.1,67.38,28.77,60.99,69.468,"1,324",1.0,5.0,0.356,1.424,0.319,0.41,0.337,"$5,866,391"
Kevin Kisner,105.0,67.0,2017,288.7,66.43,28.79,62.5,70.294,"1,612",1.0,7.0,0.388,1.148,0.257,0.334,0.065,"$4,766,936"
Pat Perez,93.0,61.46,2017,290.6,66.04,28.66,63.38,70.25,"1,461",1.0,5.0,0.346,0.877,-0.147,0.222,0.44,"$4,361,400"
Brian Harman,104.0,62.07,2017,289.6,63.19,28.3,62.74,70.402,"1,557",1.0,7.0,0.6,0.581,0.015,-0.198,0.329,"$4,396,470"
Charley Hoffman,112.0,57.72,2017,298.3,66.13,29.0,56.78,70.351,"1,498",,7.0,-0.012,0.78,0.586,0.349,-0.031,"$4,161,008"
Matt Kuchar,95.0,65.36,2017,285.1,66.6,28.7,65.78,69.806,"1,260",,6.0,0.332,1.106,0.158,0.253,0.43,"$4,282,489"
Xander Schauffele,96.0,57.68,2017,306.3,67.74,29.1,56.95,70.163,988,1.0,3.0,0.402,0.724,0.554,0.011,-0.086,"$4,312,674"
